label	all	region	gender	hostinstitution	major	country
	220					
Western Hemisphere (WHA)		82				
Serbia and Montenegro (SAM)		57				
East Asia and the Pacific (WHA)		56				
"Near East, South Asia (NESA)"		25				
male			120			
female			100			
University of Arkansas				9		
University of Missouri - Columbia				9		
University of Minnesota - Twin Cities				8		
Humboldt State University				7		
Utica College				7		
American University				6		
Chatham University				6		
Grand Valley State University				6		
Kent State University				6		
Missouri State University				6		
Saginaw Valley State University				6		
University of Utah				6		
University of Wyoming				6		
California State - Monterey Bay				5		
Illinois State University				5		
Snow College				5		
St. Catherine University				5		
Tennessee Tech University				5		
University of Southern Indiana				5		
University of Wisconsin - Eau Claire				5		
Wayne State University				5		
California State - San Marcos				4		
Emporia State University				4		
Lincoln University of Pennsylvania				4		
Minnesota State University Mankato				4		
Nazareth College				4		
Old Dominion University				4		
University of Evansville				4		
West Liberty University				4		
Western Washington University				4		
Augustana College				3		
East Tennessee State University				3		
Endicott College				3		
Fairleigh Dickinson University				3		
Florida Gulf Coast University				3		
Presbyterian College				3		
SUNY- Cobleskill				3		
Carroll College				2		
Depauw University				2		
Juniata College				2		
Millikin University				2		
Montclair State University				2		
Murray State University				2		
North Central College				2		
North Dakota State University				2		
Northwest College				2		
St. Cloud State University				2		
University of Mississippi				2		
University of Tennessee - Knoxville				2		
University of Texas - Austin				2		
University of the Incarnate Word				2		
Xavier University of Louisiana				2		
Barnard College				1		
Bennett College				1		
Illinois Institute of Technology				1		
University of Hawaii - Hilo				1		
Virginia Commonwealth University				1		
TESL					22	
Business Administration					17	
English Language and Literature					17	
International Relations					15	
Mass Communications					9	
Education					8	
Industrial Engineering					8	
Electrical Engineering					8	
Business Management					7	
Political Science					6	
Accounting					6	
Sociology					6	
Economics					5	
Finance					4	
International Business					4	
Computer Science					4	
Biology					3	
Civil Engineering					3	
Journalism					3	
Public Relations					3	
Hospitality and Tourism Management					3	
Mechanical Engineering					3	
Information Technology					3	
Pre-Law					3	
Architecture					2	
Pre-Medicine					2	
Public Health					2	
Anthropology					2	
Agriculture					2	
Mathematics					2	
Psychology					2	
Nutrition					2	
Computer Engineering					2	
American Studies					1	
Media Management					1	
Graphic Design					1	
Physical Education					1	
Social Work					1	
Supply Chain Management					1	
Environmental Science					1	
Film Studies					1	
Chemistry					1	
Environmental Engineering					1	
Community Development					1	
Environmental Management					1	
Software Engineering					1	
Statistics and Mathematics					1	
Development Studies					1	
Theater Management and Production					1	
Audio-Visual Media					1	
Food Science Technology					1	
Social Sciences					1	
Physics					1	
Agronomy					1	
French Language and Literature					1	
Computer Animation					1	
Pharmaceutical Chemistry					1	
Mining Engineering					1	
Robotic Engineering					1	
Chemical Technology					1	
Broadcast Journalism					1	
Social Entrepreneurship					1	
Global Logistics					1	
Chemical Engineering					1	
Urban Planning					1	
Serbia						18
China						8
Burma						8
Montenegro						7
Venezuela						7
Vietnam						7
Haiti						7
El Salvador						7
Egypt						6
Guatemala						6
Honduras						6
Nicaragua						6
Dominican Republic						6
Costa Rica						6
Panama						6
India						5
Lebanon						5
Tunisia						5
Bahrain						5
Oman						5
Pakistan						5
Yemen						5
Indonesia						5
Mongolia						4
Morocco						4
Thailand						4
Cambodia						4
Bangladesh						4
Palestinian Territories						4
Jordan						4
Korea						4
Philippines						4
Laos						4
Israel						4
Malaysia						4
Nepal						3
Saudi Arabia						3
Algeria						3
Nigeria						2
Zambia						1
Mauritania						1
South Africa						1
Mozambique						1
Libya						1
Kenya						1
Zimbabwe						1
Uganda						1
Niger						1
Ghana						1
