Title,Director,Year,Genre
"Hundreds of Beavers","",,"Unsorted"
"Do Not Expect Too Much from the End of the World","Radu Jude",,"Unsorted"
"From Dusk till Dawn","Robert Rodriguez",,"Unsorted"
"The Brutalist","Brady Corbet",,"Unsorted"
"Valerie and Her Week of Wonders","Jaromil Jireš",1970,"Unsorted"
"Crimes and Misdemeanors","Woody Allen",1989,"Unsorted"
"Welcome to the Dollhouse","Todd Solondz",1995,"Unsorted"
"The Fall","Tarsem Singh",2006,"Unsorted"
"Cold War","Paweł Pawlikowski",2018,"Unsorted"
"Breakfast at Tiffany's","Blake Edwards",1961,"Unsorted"
"Final Fantasy: The Spirits Within","Hironobu Sakaguchi",2001,"Unsorted"
"Berserk","",1997,"Unsorted"
"The Killer","David Fincher",2023,"Unsorted"
"Rebel Ridge","",2024,"Unsorted"
"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles","Chantal Akerman",1975,"Unsorted"
"Logan's Run","Michael Anderson",1976,"Unsorted"
"The Judge","David Dobkin",2014,"Unsorted"
"Beyond the Valley of the Dolls","Russ Meyer",1970,"Unsorted"
"Long Day's Journey into Night","Sidney Lumet",1962,"Unsorted"
"The Wages of Fear","Henri-Georges Clouzot",,"Unsorted"
"Sorcerer","William Friedkin",,"Unsorted"
"Happiness","Todd Solondz",1998,"Unsorted"
"Orpheus","Jean Cocteau",1950,"Unsorted"
"The Taking of Pelham One Two Three","Joseph Sargent",,"Unsorted"
"Vox Lux","Brady Corbet",,"Unsorted"
"Dangerous Liaisons","Stephen Frears",,"Unsorted"
"Anora","",,"Unsorted"
"In the Mood for Love","Wong Kar-wai",,"Unsorted"
"City Lights","Charlie Chaplin",,"Unsorted"
"Crusing","William Friedkin",,"Unsorted"
"Dark City","Alex Proyas",,"Unsorted"
"3,000 years of longing","George Miller",,"Unsorted"
"Ready or Not","Matt Bettinelli-Olpin, Tyler Gillett",2019,"Action"
"Valerian and the City of a Thousand Planets","Luc Besson",2017,"Action"
"Blackhat (Director's Cut)","Michael Mann",2015,"Action"
"Man on Fire","Tony Scott",2004,"Action"
"Bad Lieutenant","Abel Ferrara",1992,"Action"
"King of New York","Abel Ferrara",1990,"Action"
"Bullitt","Peter Yates",1968,"Action"
