id,model,serial,first_flight,registration_date,status,color,file,image_url,sanctions_status,sanctions_date,sanctions_authority,sanctions_type,sanctions_document,sanctions_identifier,sanctions_reason,description,alert_type,alert_content,operator,owner_info,activities,type
RA-76845,Ilyushin Il-76MD,0053454385,1987-03-15,1987-05-23,Active,#4a90e2,RA76845_flight_paths.geojson,,No,,,,,,,Heavy military transport aircraft used for cargo and humanitarian operations.,,,Ministry of Civil Defence Emergencies and Disaster Relief,The Ministry of Civil Defence Emergencies and Disaster Relief operates a fleet of transport aircraft for use in emergency response and humanitarian operations.,"Participated in humanitarian aid missions to Syria||Delivered supplies to flood-affected regions in southern Russia in 2022",Il-76
RA-76846,Ilyushin Il-76TD,0033451252,1992-11-08,1993-02-17,Active,#e24a4a,RA76846_flight_paths.geojson,,No,,,,,,,Civilian cargo variant of the military Il-76 transport aircraft.,,,Aviacon Zitotrans,Aviacon Zitotrans is a Russian cargo airline based in Yekaterinburg operating primarily cargo charter services.,"Regular cargo flights between Russia and Middle East||Contracted for UN humanitarian operations in 2019-2020",Il-76
RA-65689,Tupolev Tu-134A-3,66350,1981-06-25,1982-01-12,Active,#4ae278,RA65689_flight_paths.geojson,,No,,,,,,,Medium-range VIP passenger aircraft used by government and military officials.,,,223rd Flight Detachment,The 223rd Flight Detachment is a special air unit that primarily serves senior Russian military and Ministry of Defense officials.,"Transported military officials to Crimea and eastern Ukraine regions||Observed making multiple flights to military installations in Syria",Tu-134
RA-65690,Tupolev Tu-134A-3,65815,1980-09-17,1981-03-04,Active,#e2c74a,RA65690_flight_paths.geojson,,No,,,,,,,Medium-range VIP passenger aircraft used for transporting military personnel.,,,223rd Flight Detachment,The 223rd Flight Detachment operates under the Russian Air Force and provides transport services for high-ranking military personnel.,"Flew to Sevastopol multiple times in 2022||Delivered personnel to various military bases in Russia's southern regions",Tu-134
RA-65729,Tupolev Tu-134A-3,65842,1980-12-03,1981-04-25,Active,#9c27b0,RA65729_flight_paths.geojson,,No,,,,,,,Military passenger transport used primarily by Russian Air Force personnel.,,,223rd Flight Detachment,The 223rd Flight Detachment is known to operate VIP transport flights for senior military and government officials.,"Made regular flights to military command centers||Transported defense officials to weapons testing sites",Tu-134
RA-65733,Tupolev Tu-134A-3,65895,1981-02-20,1981-05-15,Active,#00bcd4,RA65733_flight_paths.geojson,,No,,,,,,,Medium-range passenger aircraft operated for military transport.,,,223rd Flight Detachment,The 223rd Flight Detachment operates a fleet of aircraft for the transport of military officials and personnel throughout Russia and to international destinations.,"Regularly visited strategic military installations||Used for transport during joint military exercises with Belarus",Tu-134
RA-65992,Tupolev Tu-134A-3,66105,1983-07-12,1983-09-30,Active,#ff9800,RA65992_flight_paths.geojson,,No,,,,,,,Military passenger transport aircraft used for official government and military flights.,,,223rd Flight Detachment,The 223rd Flight Detachment is a special unit of the Russian Air Force responsible for transporting high-ranking military officers and government officials.,"Transported defense officials to Syria||Made multiple flights to Russian military bases in Armenia",Tu-134
RA-65996,Tupolev Tu-134A-3,66157,1984-03-08,1984-06-22,Active,#795548,RA65996_flight_paths.geojson,,No,,,,,,,VIP-configured military passenger aircraft used for transporting senior officials.,,,223rd Flight Detachment,The 223rd Flight Detachment operates a variety of military transport aircraft for official government and defense ministry use.,"Used for diplomatic missions to Central Asian countries||Transported Russian military observers to treaty verification missions",Tu-134
RA-78830,Ilyushin Il-76MD,0063459340,1989-05-12,1989-08-15,Active,#3f51b5,RA78830_flight_paths.geojson,,No,,,,,,,Heavy military transport aircraft with extended range capability.,,,223rd Flight Detachment,The 223rd Flight Detachment operates this Il-76MD for long-range military transport missions requiring heavy lift capability.,"Transported military equipment to bases in Syria||Conducted supply missions to Russian Arctic bases||Participated in joint military exercises with China",Il-76
RA-78847,Ilyushin Il-76MD,0063468932,1991-07-30,1991-10-05,Active,#f44336,RA78847_flight_paths.geojson,,No,,,,,,,Strategic airlift transport used for military cargo and personnel transportation.,,,223rd Flight Detachment,The 223rd Flight Detachment uses this aircraft for strategic airlift and military transport operations.,"Delivered military supplies to Central African Republic||Transported peacekeeping equipment to international missions||Conducted supply missions to Russian bases in Central Asia",Il-76
RA-78850,Ilyushin Il-76MD,0073471254,1992-03-18,1992-06-12,Active,#009688,RA78850_flight_paths.geojson,,No,,,,,,,Large military transport aircraft used for strategic airlift operations.,,,223rd Flight Detachment,This aircraft is part of the 223rd Flight Detachment's heavy lift capability for military transport operations.,"Participated in humanitarian operations in Libya||Transported equipment for military exercises in Belarus||Conducted transport missions to Russian facilities in Kazakhstan",Il-76
RA-86906,Ilyushin Il-76MD,0093487621,1995-09-23,1996-01-10,Active,#607d8b,RA86906_flight_paths.geojson,,No,,,,,,,Military transport aircraft modified for specialized cargo missions.,,,223rd Flight Detachment,The 223rd Flight Detachment operates this specialized Il-76 for sensitive military transport operations.,"Transported sensitive military equipment to overseas bases||Conducted rapid response supply missions to Russian allies||Participated in joint exercises with Serbia",Il-76
