sanction_title,start_year,description,Legal Basis,Status,Economic Impact,total_amount,group,impact,status,trigger,repeal,suspension,target,actor,triggger
EO 12170,1979,Blocking Iranian Government Property,"IEEPA, NEA",Modified by EO 12281,L,5000,low,Low,Modified by EO 12281,4,1,1,1,1,Hostage crisis
EO 12205,1980,Prohibiting Certain Transactions with Iran,"IEEPA, NEA.",Revoked by EO 12282,N/A,10000000,low,Not Applicable,Revoked by EO 12282,4,5,Not Applicable,2,1,Hostage crisis
EO 12211,1980,Further prohibitions on transactions with Iran,"IEEPA, NEA, Immigration and Nationality Act, EO 12170, EO 12205",Revoked by EO 12282,N/A,36018,low,Not Applicable,Revoked by EO 12282,4,5,Not Applicable,3,1,Hostage crisis
EO 12613,1987,Prohibiting Imports from Iran,International Security and Development Cooperation Act,"subsections a,b,c,d, and f of section 1 revoked by EO 13059",N/A,38420,low,Not Applicable,"subsections a,b,c,d, and f of section 1 revoked by EO 13059",5,5,Not Applicable,4,1,"Iran-Iraq War, terrorism"
EO 12957,1995,Prohibiting Certain Transactions With Respect to the Development of Iranian Petroleum Resources,"IEEPA, NEA",Codified by IFSA,H,10000000,low,High,Codified by IFSA,4,4,4,5,1,General policies of Iran
EO 12959,1995,Prohibiting Certain Transactions With Respect to Iran,"IEEPA, NEA, International Security and Development Cooperation Act, EO 12957","subsections a,b,c,d, and f of section 1 revoked by EO 13059. Codified by IFSA.",H,50000,low,High,"subsections a,b,c,d, and f of section 1 revoked by EO 13059. Codified by IFSA.",4,4,4,6,1,General policies of Iran
EO 13059,1997,Prohibiting Certain Transactions With Respect to Iran,"IEEPA, NEA, International Security and Development Cooperation Act, EO 12957, EO 12959",Codified by IFSA,H,10000000,low,High,Codified by IFSA,4,4,4,7,1,General policies of Iran
EO 13224,2001,"Blocking Property and Prohibiting Transactions with Person who Commit, Threaten to Commit, or Support Terrorism","IEEPA, NEA, the U.N. Participation Act of 1945, EO 12938 ",,L,10000000,low,Low,,2,1,1,8,1,Terrorism
EO 13382,2005,Blocking Property of Weapons of Mass Destruction Proliferators and Their Supporters,"IEEPA, NEA, EO 12938, EO 13094",,L,55752,low,Low,,1,1,1,9,1,Nonproliferation
EO 13553,2010,Blocking Property of Certain Persons With Respect to Serious Human Rights Abuses by the Government of Iran and Taking Certain Other Actions,"IEEPA,NEA, CISADA, EO 12957",,L,10000000,low,Low,,3,1,1,10,1,Human rights
EO 13572,2011,Blocking Property of Certain Persons With Respect to Human Rights Abuses in Syria ,"IEEPA, NEA, EO 13338, EO 13399, EO 13460 (Syria Eos)  ",,L,60000,low,Low,,3,1,1,11,1,Human rights
EO 13574,2011,"Authorizing the Implementation of Certain Sanctions Set Forth in the Iran Sanctions Act of 1996, as Amended ","IEEPA, NEA, ISA, CISADA, EO 12957",Implements ISA,H,60000,low,High,Implements ISA,4,4,4,12,1,Companies working with Iran
EO 13590,2011,"Authorizing the Imposition of Certain Sanctions With Respect to the Provision of Goods, Services, Technology, or Support for Iranês Energy and Petrochemical Sectors ","IEEPA, NEA, EO 12957, ",Codified by TRA,H,10000000,low,High,Codified by TRA,1,4,4,13,1,Nonproliferation
EO13599,2012,Blocking Property of the Government of Iran and Iranian Financial Institutions,"IEEPA, NEA, NDAA FY2012, EO 12957, Does not apply to property in EO 12170/ EO 12281",,H,10000000,low,High,,4,1,1,14,1,Money laundering
EO 13606,2012,Blocking the Property and Suspending Entry Into the United States of Certain Persons With Respect to Grave Human Rights Abuses by the Governments of Iran and Syria via Information Technology ,"IEEPA, NEA, Immigration and Nationality Act, EO 12957, EO 13338",Codified by TRA,L,10000000,low,Low,Codified by TRA,3,4,4,15,1,Human rights
EO 13608,2012,Prohibiting Certain Transactions With and Suspending Entry Into the United States of Foreign Sanctions Evaders With Respect to Iran and Syria ,"IEEPA, NEA, Immigration and Nationality Act of 1952, EO 12957, EO 13338, EO 12938, EO 13224",,L,70116,low,Low,,4,1,1,16,1,Evading sanctions
EO 13622,2012,Authorizing Additional Sanctions With Respect to Iran,"IEEPA, NEA, EO 12957, NDAA.",,H,74219,low,High,,4,1,1,17,1,Iran's energy exports
EO 13628,2012,"Authorizing the Implementation of Certain Sanctions Set Forth in the Iran Threat Reduction and Syria Human Rights Act of 2012 and Additional Sanctions With Respect to Iran","IEEPA, NEA, ISA, CISADA, TRA, EO 12957",Implements TRA,H,74800,low,High,Implements TRA,6,4,4,18,1,"Nonproliferation, terrorism, human rights"
"National Defense Authorization Act of 1993, Title XVI",1992,Iran-Iraq Arms Nonproliferation Act of 1992,,,L,74900,light,Low,,1,4,2,19,2,Nonproliferation
Iran Sanctions Act (Iran and Libya Sanctions Act or ISA),1996,,,"Amended by IFSA, CISADA, TRA. Sunset December 31, 2016.",H,74963,light,High,"Amended by IFSA, CISADA, TRA. Sunset December 31, 2016.",7,4,2,20,2,"Nonproliferation,  terrorism"
Iran Nonproliferation Act,2000,,,"Renamed Iran-North Korea-Syria Non-Proliferation Act (INKSNA) in 2011.",L,75000,light,Low,"Renamed Iran-North Korea-Syria Non-Proliferation Act (INKSNA) in 2011.",1,4,4,21,2,Nonproliferation
Iran Freedom Support Act,2006,,,Amended and replaced by CISADA,N/A,75000,light,Not Applicable,Amended and replaced by CISADA,6,5,Not Applicable,22,2,"Nonproliferation, terrorism, human rights"
"Comprehensive Iran Sanctions, Accountability, and Divestment Act of 2010 (CISADA)",2010,,,Amended by TRA,H,75300,light,High,Amended by TRA,8,4,2,23,2,"Money laundering, nonproliferation, terrorism, human rights"
Iran-Syria-North Korea Non-Proliferation Act (INKSNA),2011,Replaced Iran Nonproliferation Act of 2000,,,L,75970,light,Low,,1,4,4,24,2,Nonproliferation
Section 311 of the USA Patriot Act,2011,Identification of the Islamic Republic of Iran as a jurisdiction of primary money laundering concern,"5318A of title 31, United States Code",,H,82500,light,High,,9,4,1,25,2,"Money laundering, nonproliferation, terrorism"
"National Defense Authorization Act of 2012, Sec 1245",2011,Imposition of Sanctions With Respect to the Financial Sector of Iran,,Amended by NDAA 2013,H,91300,light,High,Amended by NDAA 2013,9,4,2,26,2,"Money laundering, nonproliferation, terrorism"
Iran Threat Reduction and Syrian Human Rights Act of 2012 (ITRSHRA OT TRA),2012,,,,H,93000,light,High,,6,4,2,27,2,"Nonproliferation, terrorism, human rights"
"National Defense Authorization Act of 2013, Subtitle D",2012,Iran Freedom and Counter-Proliferation Act of 2012 (IFCPA),,,H,100000,light,High,,6,4,2,28,2,"Nonproliferation, terrorism, human rights"
Council Common Position 2007/140/CFSP of 27 February 2007. Council Regulation 423/2007 of 19 April 2007 ,2007,Restrictive measures against Iran,"Article 29 TEU (ex Article 15). Article 75 TFEU (ex Article 60 TEC), Article 215 TFEU (ex Article 301 TEC).","2007/140/CFSP amended by: 2007/246/CFSP, 2008/842/CFSP, 2008/479/CFSP, 2008/652/CFSP, 2009/840/CFSP. Repealed by 2010/413/CFSP. 423/2007 amended by: 441/2007, 618/2007, 2008/475/EC, 116/2008, 219/2008, 1110/2008, 1100/2009, 1228/2009, 532/2010, 668/2010. Repealed by 961/2010.",N/A,100000,medium,Not Applicable,"2007/140/CFSP amended by: 2007/246/CFSP, 2008/842/CFSP, 2008/479/CFSP, 2008/652/CFSP, 2009/840/CFSP. Repealed by 2010/413/CFSP. 423/2007 amended by: 441/2007, 618/2007, 2008/475/EC, 116/2008, 219/2008, 1110/2008, 1100/2009, 1228/2009, 532/2010, 668/2010. Repealed by 961/2010.",1,5,Not Applicable,29,3,Nonproliferation
"Council Decision 2010/413/CFSP of 26 July 2010, repealing Common Position 2007/140/CFSP. Council Regulation 961/2010 of 25 October 2010, repealing Regulation 423/2007.",2010,Restrictive measures against Iran,Article 29 TEU (ex Article 15). Article 215 TFEU (ex Article 301 TEC).,"2010/413/CFSP amended by: 2010/644/CFSP, 2011/299/CFSP, 2011/783/CFSP, 2012/35/CFSP, 2012/152/CFSP, 2012/169/CFSP, 2012/205/CFSP, 2012/457/CFSP, 2012/635/CFSP, 2012/687/CFSP, 2012/829/CFSP. 961/2010 amended by: 503/2011, 1245/2011, 54/2012, 56/2012. Repealed by 267/2012. ",H,100000,medium,High,"2010/413/CFSP amended by: 2010/644/CFSP, 2011/299/CFSP, 2011/783/CFSP, 2012/35/CFSP, 2012/152/CFSP, 2012/169/CFSP, 2012/205/CFSP, 2012/457/CFSP, 2012/635/CFSP, 2012/687/CFSP, 2012/829/CFSP. 961/2010 amended by: 503/2011, 1245/2011, 54/2012, 56/2012. Repealed by 267/2012. ",1,2,2,30,3,Nonproliferation
Council Decision 2011/235/CFSP of 12 April 2011. Council Regulation 359/2011 of 12 April 2011 .,2011,"Restrictive measures directed against certain persons, entities and bodies in view of the situation in Iran",Article 29 TEU (ex Article 15). Article 215 TFEU.,"2011/235/CFSP amended by: 2012/168/CFSP, 2012/810/CFSP. 359/2011 amended by: 1002/2011, 264/2012, 1245/2012.",L,100000,medium,Low,"2011/235/CFSP amended by: 2012/168/CFSP, 2012/810/CFSP. 359/2011 amended by: 1002/2011, 264/2012, 1245/2012.",3,2,2,31,3,Human rights
"Council Regulation 267/2012 of 23 March 2012, repealing Regulation 961/2010.",2012,Restrictive measures against Iran,Article 215 TFEU (ex Article 301 TEC) and Council Decision 2012/35/CFSP amending Council Decision 2010/413/CFSP,"267/2012 amended by: 350/2012, 708/2012, 709/2012, 945/2012, 1016/2012, 1263/2012, 1264/2012. ",H,100000,medium,High,"267/2012 amended by: 350/2012, 708/2012, 709/2012, 945/2012, 1016/2012, 1263/2012, 1264/2012. ",1,2,2,32,3,Nonproliferation
United Nations Security Council Resolution 1737,2006,,"NPT, UNSCR 1696",,L,110610,high,Low,,1,3,3,33,4,Nonproliferation
United Nations Security Council Resolution 1747,2007,,"NPT, UNSCR 1696, UNSCR 1737",,L,140000,high,Low,,1,3,3,34,4,Nonproliferation
United Nations Security Council Resolution 1803,2008,,"NPT, UNSCR 1696, UNSCR 1737, UNSCR 1747",,L,143973,high,Low,,1,3,3,35,4,Nonproliferation
United Nations Security Council Resolution 1929,2010,,"NPT, UNSCR 1696, UNSCR 1737, UNSCR 1747, UNSCR 1803, UNSCR 1835, UNSCR 1887",,H,146025,high,High,,1,3,3,36,4,Nonproliferation
