Recipe Name,File Name,Cuisine,Core Ingredient
20-Minute Soy-Glazed Chicken Thighs,20-minute-soy-glazed-chicken-thighs.md,Asian,Chicken
3 Chicken Marinades,3-chicken-marinades.md,Various,Chicken
3 Easy Ranch Recipes,3-easy-ranch-recipes.md,Various,Various
30-Minute Leftover Chicken Pho,30-minute-leftover-chicken-pho.md,Vietnamese,Chicken
Arayes (Middle Eastern Meat-Stuffed Pita),arayes-(middle-eastern-meat-stuffed-pita).md,Middle Eastern,Meat
Aush (Persian Bean & Noodle Soup),aush-(persian-bean-&-noodle-soup).md,Persian,Beans
Authentic Pasta Carbonara,authentic-pasta-carbonara.md,Italian,Pasta
Beef Shank Osso Buco,beef-shank-osso-buco.md,Italian,Beef
Butter Chicken Mac and Cheese,butter-chicken-mac-and-cheese.md,Fusion,Chicken
Chicken Katsu with Homemade Sauce25,chicken-katsu-with-homemade-sauce25.md,Japanese,Chicken
Chicken Shawarma with Yogurt Sauce,chicken-shawarma-with-yogurt-sauce.md,Middle Eastern,Chicken
Chinese Vegetable Fried Rice,chinese-vegetable-fried-rice.md,Chinese,Vegetables
Chopped Mediterranean Chicken Salad,chopped-mediterranean-chicken-salad.md,Mediterranean,Chicken
Classic Beef Stroganoff,classic-beef-stroganoff.md,Russian,Beef
Classic Chip Shop Curry Sauce,classic-chip-shop-curry-sauce.md,British,Curry Sauce
Confit Garlic Compound Butter Bread,confit-garlic-compound-butter-bread.md,French,Bread
Coq Au Vin,coq-au-vin.md,French,Chicken
Creamy Chicken Gnocchi Soup,creamy-chicken-gnocchi-soup.md,Italian,Chicken
Creamy Pumpkin Tempura Ramen,creamy-pumpkin-tempura-ramen.md,Japanese,Pumpkin
Crispy Chickpea Fritters with Tahini-Dill Sauce,crispy-chickpea-fritters-with-tahini-dill-sauce.md,Middle Eastern,Chickpeas
Dhaba Style Masala Egg Curry,dhaba-style-masala-egg-curry.md,Indian,Eggs
Duck Confit (Confit de Canard),duck-confit-(confit-de-canard).md,French,Duck
Eastern European Side Dishes,eastern-european-side-dishes.md,Eastern European,Various
Easy No-Knead French Baguettes,easy-no-knead-french-baguettes.md,French,Bread
Fasolada (Cypriot Bean Soup),fasolada-(cypriot-bean-soup).md,Cypriot,Beans
Fresh Spring Rolls with Peanut Sauce,fresh-spring-rolls-with-peanut-sauce.md,Vietnamese,Vegetables
Gordon Ramsay's Potato Cakes with Spiced Beans,gordon-ramsay_s-potato-cakes-with-spiced-beans.md,British,Potatoes
Green Goddess Salad,green-goddess-salad.md,Various,Vegetables
Harissa-Jerk Smash Burger,harissa-jerk-smash-burger.md,Fusion,Beef
Korean Marinated Eggs (Drug Eggs),korean-marinated-eggs-(drug-eggs).md,Korean,Eggs
Kuru Fasulye (Turkish White Bean Stew),kuru-fasulye-(turkish-white-bean-stew).md,Turkish,White Beans
Maple Dijon Almond-Crusted Salmon,maple-dijon-almond-crusted-salmon.md,Various,Salmon
Middle Eastern Molokhia with Roasted Chicken,middle-eastern-molokhia-with-roasted-chicken.md,Middle Eastern,Chicken
Miso-Glazed Sous Vide Spare Ribs,miso-glazed-sous-vide-spare-ribs.md,Japanese,Pork Ribs
Muhammara (Middle Eastern Red Pepper Dip),muhammara-(middle-eastern-red-pepper-dip).md,Middle Eastern,Red Peppers
